Elementos,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2000,0.013248,0.010204,0.008748,0.010153,0.011307,0.009243,0.008850,0.008444,0.009010,0.008637,0.009950,0.009360,0.009493,0.008467,0.008454,0.008226,0.008661,0.008307,0.008652,0.008685,0.008024,0.008148,0.007927,0.008953,0.009006,0.007848,0.007795,0.007788,0.007751,0.007780,0.007604,0.007690,0.007891,0.008555,0.008364,0.007369,0.008293,0.007423,0.007716,0.008143,0.008070,0.007098,0.006922,0.007645,0.007803,0.006956,0.006820,0.007244,0.007437,0.006864,0.006763,0.006877,0.007085,0.006653,0.006127,0.005945,0.005825,0.006570,0.005734,0.005898,0.006264,0.005815,0.005348,0.005195,0.005056,0.005096,0.004860,0.004855,0.004641,0.004589,0.004425,0.004289,0.004366,0.004246,0.003976,0.003933,0.003702,0.003586,0.003448,0.003329,0.003224,0.003069,0.002978,0.002853,0.002682,0.002542,0.002805,0.002632,0.002487,0.002120,0.001903,0.001683,0.001650,0.001400,0.001379,0.001289,0.000960,0.000793,0.000768,0.000490,0.000317
2500,0.013414,0.013668,0.014237,0.013518,0.013232,0.013686,0.013629,0.013599,0.013374,0.014645,0.014413,0.013037,0.012785,0.013248,0.014359,0.012825,0.014357,0.013328,0.013330,0.012691,0.022978,0.012670,0.012412,0.013587,0.028515,0.013618,0.014118,0.014066,0.013835,0.013714,0.012363,0.011784,0.011687,0.012470,0.012723,0.011449,0.012303,0.012512,0.011199,0.011074,0.011297,0.011006,0.010748,0.011431,0.010942,0.010966,0.010680,0.010580,0.010202,0.009985,0.011118,0.009924,0.010223,0.009876,0.010174,0.010501,0.010305,0.008981,0.008871,0.008636,0.008511,0.008423,0.009141,0.008354,0.008536,0.007742,0.008262,0.007621,0.007793,0.007001,0.006825,0.006641,0.007214,0.006313,0.006696,0.005930,0.005706,0.005557,0.005320,0.005270,0.005273,0.004882,0.004579,0.004831,0.004419,0.004255,0.003740,0.003585,0.003296,0.003025,0.002841,0.002840,0.002372,0.002122,0.002189,0.001653,0.001647,0.001200,0.000921,0.000701,0.000442
3000,0.018691,0.019444,0.019678,0.018682,0.018717,0.020939,0.020230,0.018539,0.018526,0.019013,0.018894,0.018662,0.019669,0.019807,0.019217,0.019405,0.019367,0.018650,0.020305,0.018319,0.019482,0.017942,0.017928,0.017785,0.017739,0.017561,0.017942,0.017955,0.017301,0.018408,0.017387,0.017217,0.016843,0.016774,0.017988,0.016456,0.016351,0.017527,0.017790,0.016635,0.015729,0.015603,0.017625,0.016031,0.015514,0.015027,0.015778,0.014746,0.014706,0.014243,0.014399,0.015774,0.015017,0.014657,0.013955,0.015009,0.013708,0.013546,0.018120,0.013296,0.012940,0.012059,0.012453,0.011456,0.011357,0.011558,0.010852,0.010493,0.010259,0.011436,0.009839,0.009580,0.009292,0.009129,0.008688,0.008393,0.008138,0.007895,0.007584,0.007297,0.008066,0.006842,0.006758,0.006153,0.005826,0.005585,0.005998,0.005655,0.005288,0.004960,0.003958,0.003686,0.003273,0.002956,0.002618,0.002317,0.001956,0.001616,0.001208,0.000989,0.000627
3500,0.027076,0.025331,0.027024,0.026665,0.027676,0.026281,0.025200,0.027106,0.026372,0.026817,0.025094,0.026773,0.025911,0.026974,0.027043,0.025664,0.025172,0.025793,0.025349,0.025478,0.025695,0.024490,0.026515,0.027246,0.024421,0.025614,0.025484,0.024816,0.025221,0.023751,0.023443,0.025669,0.022847,0.024106,0.022470,0.023048,0.022073,0.023650,0.022681,0.023064,0.022102,0.022590,0.021396,0.020964,0.021561,0.021066,0.020125,0.021322,0.019660,0.019432,0.019622,0.022197,0.018714,0.018544,0.018219,0.018777,0.023292,0.019851,0.019013,0.017875,0.020230,0.018877,0.017553,0.017008,0.015279,0.015794,0.014744,0.016363,0.014482,0.013592,0.013210,0.013872,0.012513,0.012864,0.011900,0.011771,0.011001,0.010598,0.010273,0.009832,0.010073,0.009125,0.008687,0.009373,0.008195,0.007538,0.007813,0.006706,0.006343,0.005710,0.006137,0.004870,0.005111,0.004583,0.003913,0.003007,0.002971,0.002083,0.001596,0.001096,0.000594
4000,0.033330,0.034063,0.033774,0.033651,0.033349,0.036175,0.035231,0.033629,0.032906,0.033663,0.034062,0.034854,0.034117,0.034119,0.033297,0.035286,0.035050,0.032872,0.031914,0.031883,0.034909,0.034221,0.033133,0.035584,0.032309,0.033253,0.032621,0.033557,0.031382,0.030413,0.030787,0.029953,0.031575,0.029537,0.030452,0.029222,0.029767,0.029940,0.028879,0.028130,0.028767,0.029694,0.027500,0.028122,0.028709,0.026683,0.026191,0.027021,0.027287,0.026714,0.024973,0.025867,0.024313,0.024002,0.025890,0.026109,0.022960,0.023914,0.023402,0.023477,0.021548,0.022506,0.020903,0.021266,0.019883,0.020092,0.019011,0.018627,0.018170,0.018183,0.018056,0.016825,0.018608,0.016512,0.015296,0.015644,0.015522,0.013941,0.013452,0.013397,0.012614,0.011925,0.011280,0.010899,0.010282,0.010828,0.009925,0.009594,0.008907,0.007769,0.007260,0.006227,0.006224,0.005864,0.004562,0.003935,0.003292,0.002633,0.002310,0.001585,0.000721
4500,0.043147,0.046029,0.043472,0.042462,0.042876,0.041656,0.043094,0.043758,0.046307,0.043345,0.042351,0.042358,0.042243,0.043330,0.045227,0.042928,0.040541,0.041209,0.040293,0.041563,0.041314,0.041705,0.040990,0.039657,0.041910,0.040894,0.039945,0.038814,0.039225,0.039167,0.038556,0.039095,0.040175,0.038351,0.039436,0.040482,0.037422,0.037945,0.035979,0.038497,0.038237,0.035058,0.035070,0.035449,0.036046,0.035024,0.036409,0.035360,0.034405,0.032416,0.032371,0.033114,0.034468,0.031963,0.034357,0.029269,0.030445,0.028834,0.027958,0.029704,0.027618,0.028145,0.027349,0.026839,0.026591,0.025275,0.024643,0.024983,0.025123,0.022741,0.023018,0.023123,0.021157,0.022012,0.020341,0.020011,0.018639,0.017531,0.017751,0.017721,0.015576,0.015712,0.014132,0.013739,0.014103,0.013668,0.011572,0.010806,0.010022,0.009330,0.009742,0.009057,0.007130,0.006280,0.006458,0.004767,0.004457,0.003218,0.002403,0.001588,0.000810
5000,0.053272,0.052889,0.054155,0.054382,0.055871,0.053390,0.053021,0.057166,0.053505,0.052231,0.054995,0.052444,0.059490,0.056308,0.055971,0.053075,0.052447,0.057904,0.051333,0.052062,0.052903,0.056719,0.052029,0.049638,0.048529,0.051286,0.052416,0.051311,0.049237,0.048989,0.049573,0.049286,0.048196,0.048415,0.048220,0.046531,0.048702,0.046168,0.046447,0.045161,0.045247,0.043405,0.043557,0.043855,0.043348,0.042830,0.041524,0.041906,0.040698,0.040931,0.041805,0.038604,0.041257,0.039805,0.039002,0.037224,0.036154,0.036700,0.034588,0.033835,0.033223,0.035413,0.034771,0.034993,0.030949,0.031768,0.029651,0.028764,0.029373,0.029221,0.028962,0.026080,0.025326,0.026600,0.023911,0.025117,0.025244,0.022164,0.022479,0.020448,0.020686,0.021117,0.017563,0.017405,0.017063,0.016574,0.014150,0.013293,0.013704,0.011733,0.011605,0.009684,0.009985,0.008480,0.007834,0.006877,0.004875,0.004215,0.002878,0.001888,0.000956
5500,0.065627,0.068807,0.065205,0.064185,0.062696,0.065206,0.062368,0.065908,0.062216,0.065158,0.062273,0.062936,0.061236,0.063484,0.065018,0.062189,0.062983,0.064756,0.060548,0.060454,0.062714,0.063363,0.062226,0.061151,0.062757,0.060810,0.058263,0.061391,0.058526,0.058600,0.059478,0.061354,0.057663,0.055645,0.055171,0.057486,0.057518,0.058961,0.055318,0.056160,0.052509,0.054380,0.053569,0.055588,0.051482,0.051560,0.049388,0.049369,0.052271,0.047521,0.048549,0.049801,0.046938,0.045100,0.045821,0.045080,0.044610,0.046083,0.041770,0.042614,0.041162,0.043066,0.038640,0.039754,0.039110,0.044202,0.036446,0.052590,0.038110,0.034900,0.033845,0.033890,0.031816,0.030602,0.028882,0.027919,0.029179,0.026840,0.025148,0.026586,0.023954,0.022800,0.021046,0.022674,0.020462,0.019224,0.019241,0.018020,0.017023,0.014851,0.012638,0.013351,0.010493,0.009241,0.008128,0.007175,0.006203,0.004739,0.003383,0.002232,0.001001
6000,0.075903,0.080265,0.079691,0.073884,0.076785,0.080437,0.073866,0.073833,0.076332,0.081739,0.075274,0.079006,0.073969,0.074760,0.073777,0.077151,0.079042,0.075304,0.076622,0.074226,0.075016,0.071975,0.074183,0.071119,0.073173,0.070049,0.070078,0.069537,0.069714,0.071505,0.073348,0.069285,0.074161,0.088928,0.070305,0.069301,0.069091,0.065374,0.068793,0.065953,0.063155,0.066354,0.061922,0.062656,0.061493,0.061981,0.060125,0.059592,0.063044,0.060479,0.058405,0.059216,0.054490,0.056373,0.052840,0.054741,0.051265,0.054470,0.053844,0.051774,0.052355,0.047693,0.052364,0.048528,0.044830,0.043414,0.044576,0.044318,0.042253,0.040081,0.039924,0.039080,0.036312,0.038253,0.034692,0.033111,0.034309,0.031801,0.031698,0.030172,0.030450,0.027004,0.026933,0.024182,0.022675,0.024188,0.020452,0.019261,0.017566,0.016293,0.017160,0.013698,0.012970,0.010941,0.010563,0.008997,0.006804,0.006290,0.003939,0.003118,0.001123
6500,0.096365,0.092433,0.088269,0.091953,0.092884,0.088961,0.088785,0.089903,0.089660,0.094980,0.088183,0.088939,0.090069,0.090849,0.086784,0.085159,0.088791,0.086633,0.085575,0.088057,0.085510,0.090536,0.091730,0.082848,0.083544,0.082591,0.085542,0.081840,0.082915,0.083653,0.081525,0.085652,0.085523,0.082140,0.084102,0.079540,0.079595,0.079869,0.075419,0.077101,0.075383,0.077287,0.073696,0.075602,0.076300,0.076565,0.071468,0.073098,0.070773,0.066809,0.067206,0.069335,0.071068,0.065011,0.065105,0.065041,0.061755,0.064516,0.060884,0.064283,0.059218,0.057877,0.055519,0.053523,0.051846,0.050797,0.054821,0.051988,0.047165,0.052996,0.048175,0.046194,0.043633,0.042694,0.041552,0.038831,0.038267,0.037644,0.035042,0.034565,0.033837,0.032114,0.032002,0.028988,0.029427,0.030699,0.023596,0.023313,0.023013,0.020947,0.019077,0.020983,0.015716,0.030329,0.013973,0.012994,0.009209,0.007160,0.005245,0.003525,0.001525
